"TIME","GEO","PURCHASE","UNIT","Value","Flag and Footnotes"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Annual average rate of change","1.0","p"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchases of new dwellings","Annual average index",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchases of existing dwellings","Annual average index",":",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Euro area - 19 countries  (from 2015)","Total","Annual average index","101.35","p"
"2010","Euro area - 19 countries  (from 2015)","Total","Annual average rate of change","0.9","p"
"2010","Euro area - 19 countries  (from 2015)","Purchases of new dwellings","Annual average index",":",""
"2010","Euro area - 19 countries  (from 2015)","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Euro area - 19 countries  (from 2015)","Purchases of existing dwellings","Annual average index",":",""
"2010","Euro area - 19 countries  (from 2015)","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Belgium","Total","Annual average index","91.92",""
"2010","Belgium","Total","Annual average rate of change","3.1",""
"2010","Belgium","Purchases of new dwellings","Annual average index","88.76",""
"2010","Belgium","Purchases of new dwellings","Annual average rate of change","0.0",""
"2010","Belgium","Purchases of existing dwellings","Annual average index","93.04",""
"2010","Belgium","Purchases of existing dwellings","Annual average rate of change","4.3",""
"2010","Bulgaria","Total","Annual average index","105.81",""
"2010","Bulgaria","Total","Annual average rate of change","-10.2","e"
"2010","Bulgaria","Purchases of new dwellings","Annual average index","97.86",""
"2010","Bulgaria","Purchases of new dwellings","Annual average rate of change","-10.7","e"
"2010","Bulgaria","Purchases of existing dwellings","Annual average index","108.35",""
"2010","Bulgaria","Purchases of existing dwellings","Annual average rate of change","-10.1",""
"2010","Czechia","Total","Annual average index","95.20",""
"2010","Czechia","Total","Annual average rate of change","-1.8",""
"2010","Czechia","Purchases of new dwellings","Annual average index","97.20",""
"2010","Czechia","Purchases of new dwellings","Annual average rate of change","-3.0",""
"2010","Czechia","Purchases of existing dwellings","Annual average index","94.90",""
"2010","Czechia","Purchases of existing dwellings","Annual average rate of change","-1.6",""
"2010","Denmark","Total","Annual average index","90.66",""
"2010","Denmark","Total","Annual average rate of change","2.8",""
"2010","Denmark","Purchases of new dwellings","Annual average index","40.48",""
"2010","Denmark","Purchases of new dwellings","Annual average rate of change","-1.3",""
"2010","Denmark","Purchases of existing dwellings","Annual average index","91.43",""
"2010","Denmark","Purchases of existing dwellings","Annual average rate of change","2.9",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Annual average index","83.90",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Annual average rate of change","1.0",""
"2010","Germany (until 1990 former territory of the FRG)","Purchases of new dwellings","Annual average index","83.60",""
"2010","Germany (until 1990 former territory of the FRG)","Purchases of new dwellings","Annual average rate of change","2.4",""
"2010","Germany (until 1990 former territory of the FRG)","Purchases of existing dwellings","Annual average index","83.90",""
"2010","Germany (until 1990 former territory of the FRG)","Purchases of existing dwellings","Annual average rate of change","0.8",""
"2010","Estonia","Total","Annual average index","63.90",""
"2010","Estonia","Total","Annual average rate of change","5.7",""
"2010","Estonia","Purchases of new dwellings","Annual average index","56.39",""
"2010","Estonia","Purchases of new dwellings","Annual average rate of change","9.8",""
"2010","Estonia","Purchases of existing dwellings","Annual average index","67.25",""
"2010","Estonia","Purchases of existing dwellings","Annual average rate of change","3.3",""
"2010","Ireland","Total","Annual average index","105.96",""
"2010","Ireland","Total","Annual average rate of change","-13.5",""
"2010","Ireland","Purchases of new dwellings","Annual average index","117.55",""
"2010","Ireland","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Ireland","Purchases of existing dwellings","Annual average index","105.47",""
"2010","Ireland","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Spain","Total","Annual average index","134.55",""
"2010","Spain","Total","Annual average rate of change","-1.8",""
"2010","Spain","Purchases of new dwellings","Annual average index","124.20",""
"2010","Spain","Purchases of new dwellings","Annual average rate of change","-2.2",""
"2010","Spain","Purchases of existing dwellings","Annual average index","140.68",""
"2010","Spain","Purchases of existing dwellings","Annual average rate of change","-1.2",""
"2010","France","Total","Annual average index","99.91",""
"2010","France","Total","Annual average rate of change","4.8",""
"2010","France","Purchases of new dwellings","Annual average index","94.55",""
"2010","France","Purchases of new dwellings","Annual average rate of change","2.7",""
"2010","France","Purchases of existing dwellings","Annual average index","100.59",""
"2010","France","Purchases of existing dwellings","Annual average rate of change","5.1",""
"2010","Croatia","Total","Annual average index","110.47",""
"2010","Croatia","Total","Annual average rate of change","-6.3",""
"2010","Croatia","Purchases of new dwellings","Annual average index","111.08",""
"2010","Croatia","Purchases of new dwellings","Annual average rate of change","-7.8",""
"2010","Croatia","Purchases of existing dwellings","Annual average index","111.17",""
"2010","Croatia","Purchases of existing dwellings","Annual average rate of change","-5.2",""
"2010","Italy","Total","Annual average index","118.10",""
"2010","Italy","Total","Annual average rate of change",":",""
"2010","Italy","Purchases of new dwellings","Annual average index","100.80",""
"2010","Italy","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Italy","Purchases of existing dwellings","Annual average index","126.80",""
"2010","Italy","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Cyprus","Total","Annual average index","112.90",""
"2010","Cyprus","Total","Annual average rate of change","-5.7",""
"2010","Cyprus","Purchases of new dwellings","Annual average index","114.06",""
"2010","Cyprus","Purchases of new dwellings","Annual average rate of change",":","c"
"2010","Cyprus","Purchases of existing dwellings","Annual average index","108.78",""
"2010","Cyprus","Purchases of existing dwellings","Annual average rate of change",":","c"
"2010","Latvia","Total","Annual average index","80.35",""
"2010","Latvia","Total","Annual average rate of change","-11.0",""
"2010","Latvia","Purchases of new dwellings","Annual average index","61.96",""
"2010","Latvia","Purchases of new dwellings","Annual average rate of change","-7.1",""
"2010","Latvia","Purchases of existing dwellings","Annual average index","84.59",""
"2010","Latvia","Purchases of existing dwellings","Annual average rate of change","-12.3",""
"2010","Lithuania","Total","Annual average index","84.20",""
"2010","Lithuania","Total","Annual average rate of change","-7.4",""
"2010","Lithuania","Purchases of new dwellings","Annual average index","77.17",""
"2010","Lithuania","Purchases of new dwellings","Annual average rate of change","-10.2",""
"2010","Lithuania","Purchases of existing dwellings","Annual average index","85.23",""
"2010","Lithuania","Purchases of existing dwellings","Annual average rate of change","-4.3",""
"2010","Luxembourg","Total","Annual average index","80.14",""
"2010","Luxembourg","Total","Annual average rate of change","5.4",""
"2010","Luxembourg","Purchases of new dwellings","Annual average index","78.89",""
"2010","Luxembourg","Purchases of new dwellings","Annual average rate of change","4.5",""
"2010","Luxembourg","Purchases of existing dwellings","Annual average index","81.30",""
"2010","Luxembourg","Purchases of existing dwellings","Annual average rate of change","5.9",""
"2010","Hungary","Total","Annual average index","93.66",""
"2010","Hungary","Total","Annual average rate of change","-2.4",""
"2010","Hungary","Purchases of new dwellings","Annual average index","90.44",""
"2010","Hungary","Purchases of new dwellings","Annual average rate of change","-5.2",""
"2010","Hungary","Purchases of existing dwellings","Annual average index","94.01",""
"2010","Hungary","Purchases of existing dwellings","Annual average rate of change","-1.9",""
"2010","Malta","Total","Annual average index","91.04",""
"2010","Malta","Total","Annual average rate of change","1.1",""
"2010","Malta","Purchases of new dwellings","Annual average index","93.59",""
"2010","Malta","Purchases of new dwellings","Annual average rate of change","2.2",""
"2010","Malta","Purchases of existing dwellings","Annual average index","85.89",""
"2010","Malta","Purchases of existing dwellings","Annual average rate of change","-3.6",""
"2010","Netherlands","Total","Annual average index","111.40",""
"2010","Netherlands","Total","Annual average rate of change","-1.7",""
"2010","Netherlands","Purchases of new dwellings","Annual average index","104.86",""
"2010","Netherlands","Purchases of new dwellings","Annual average rate of change","0.8",""
"2010","Netherlands","Purchases of existing dwellings","Annual average index","113.01",""
"2010","Netherlands","Purchases of existing dwellings","Annual average rate of change","-2.2",""
"2010","Austria","Total","Annual average index","76.80",""
"2010","Austria","Total","Annual average rate of change",":",""
"2010","Austria","Purchases of new dwellings","Annual average index","77.52",""
"2010","Austria","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Austria","Purchases of existing dwellings","Annual average index","76.64",""
"2010","Austria","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Poland","Total","Annual average index","105.61",""
"2010","Poland","Total","Annual average rate of change","-3.8",""
"2010","Poland","Purchases of new dwellings","Annual average index","101.28",""
"2010","Poland","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Poland","Purchases of existing dwellings","Annual average index","107.74",""
"2010","Poland","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Portugal","Total","Annual average index","107.36",""
"2010","Portugal","Total","Annual average rate of change","0.8",""
"2010","Portugal","Purchases of new dwellings","Annual average index","105.19",""
"2010","Portugal","Purchases of new dwellings","Annual average rate of change","0.7",""
"2010","Portugal","Purchases of existing dwellings","Annual average index","109.55",""
"2010","Portugal","Purchases of existing dwellings","Annual average rate of change","0.8",""
"2010","Romania","Total","Annual average index","119.54",""
"2010","Romania","Total","Annual average rate of change","-7.5",""
"2010","Romania","Purchases of new dwellings","Annual average index","109.85",""
"2010","Romania","Purchases of new dwellings","Annual average rate of change","-6.8",""
"2010","Romania","Purchases of existing dwellings","Annual average index","122.36",""
"2010","Romania","Purchases of existing dwellings","Annual average rate of change","-7.7",""
"2010","Slovenia","Total","Annual average index","117.21",""
"2010","Slovenia","Total","Annual average rate of change","0.1",""
"2010","Slovenia","Purchases of new dwellings","Annual average index","115.14",""
"2010","Slovenia","Purchases of new dwellings","Annual average rate of change","-2.6",""
"2010","Slovenia","Purchases of existing dwellings","Annual average index","118.67",""
"2010","Slovenia","Purchases of existing dwellings","Annual average rate of change","2.1",""
"2010","Slovakia","Total","Annual average index","96.78",""
"2010","Slovakia","Total","Annual average rate of change","-4.0",""
"2010","Slovakia","Purchases of new dwellings","Annual average index","102.91",""
"2010","Slovakia","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Slovakia","Purchases of existing dwellings","Annual average index","94.24",""
"2010","Slovakia","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Finland","Total","Annual average index","93.88",""
"2010","Finland","Total","Annual average rate of change","6.3",""
"2010","Finland","Purchases of new dwellings","Annual average index","87.72",""
"2010","Finland","Purchases of new dwellings","Annual average rate of change","1.6",""
"2010","Finland","Purchases of existing dwellings","Annual average index","96.94",""
"2010","Finland","Purchases of existing dwellings","Annual average rate of change","8.6",""
"2010","Sweden","Total","Annual average index","73.97",""
"2010","Sweden","Total","Annual average rate of change","7.9",""
"2010","Sweden","Purchases of new dwellings","Annual average index","88.87",""
"2010","Sweden","Purchases of new dwellings","Annual average rate of change","3.9",""
"2010","Sweden","Purchases of existing dwellings","Annual average index","71.92",""
"2010","Sweden","Purchases of existing dwellings","Annual average rate of change","9.0",""
"2010","United Kingdom","Total","Annual average index","86.15",""
"2010","United Kingdom","Total","Annual average rate of change","5.8",""
"2010","United Kingdom","Purchases of new dwellings","Annual average index","84.65",""
"2010","United Kingdom","Purchases of new dwellings","Annual average rate of change","2.9",""
"2010","United Kingdom","Purchases of existing dwellings","Annual average index","86.30",""
"2010","United Kingdom","Purchases of existing dwellings","Annual average rate of change","6.1",""
"2010","Iceland","Total","Annual average index","72.02",""
"2010","Iceland","Total","Annual average rate of change","-3.0",""
"2010","Iceland","Purchases of new dwellings","Annual average index",":",""
"2010","Iceland","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Iceland","Purchases of existing dwellings","Annual average index",":",""
"2010","Iceland","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Norway","Total","Annual average index","75.77",""
"2010","Norway","Total","Annual average rate of change","8.3","d"
"2010","Norway","Purchases of new dwellings","Annual average index","76.02",""
"2010","Norway","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Norway","Purchases of existing dwellings","Annual average index","75.63",""
"2010","Norway","Purchases of existing dwellings","Annual average rate of change",":",""
"2010","Turkey","Total","Annual average index","58.11","d"
"2010","Turkey","Total","Annual average rate of change",":",""
"2010","Turkey","Purchases of new dwellings","Annual average index","58.65",""
"2010","Turkey","Purchases of new dwellings","Annual average rate of change",":",""
"2010","Turkey","Purchases of existing dwellings","Annual average index","58.15",""
"2010","Turkey","Purchases of existing dwellings","Annual average rate of change",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Annual average index","98.79","p"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Total","Annual average rate of change","0.3","p"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Purchases of new dwellings","Annual average index",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Purchases of new dwellings","Annual average rate of change",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Purchases of existing dwellings","Annual average index",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Purchases of existing dwellings","Annual average rate of change",":",""
"2011","European Union - 27 countries (from 2020)","Total","Annual average index","101.25","p"
"2011","European Union - 27 countries (from 2020)","Total","Annual average rate of change","0.6","p"
"2011","European Union - 27 countries (from 2020)","Purchases of new dwellings","Annual average index",":",""
"2011","European Union - 27 countries (from 2020)","Purchases of new dwellings","Annual average rate of change",":",""
"2011","European Union - 27 countries (from 2020)","Purchases of existing dwellings","Annual average index",":",""
"2011","European Union - 27 countries (from 2020)","Purchases of existing dwellings","Annual average rate of change",":",""
"2011","European Union - 28 countries (2013-2020)","Total","Annual average index","98.78","p"
"2011","European Union - 28 countries (2013-2020)","Total","Annual average rate of change","0.3","p"
"2011","European Union - 28 countries (2013-2020)","Purchases of new dwellings","Annual average index",":",""
"2011","European Union - 28 countries (2013-2020)","Purchases of new dwellings","Annual average rate of change",":",""
"2011","European Union - 28 countries (2013-2020)","Purchases of existing dwellings","Annual average index",":",""
"2011","European Union - 28 countries (2013-2020)","Purchases of existing dwellings","Annual average rate of change",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Annual average index","102.61","p"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Annual average rate of change","1.1","p"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchases of new dwellings","Annual average index",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchases of new dwellings","Annual average rate of change",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchases of existing dwellings","Annual average index",":",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Purchases of existing dwellings","Annual average rate of change",":",""
"2011","Euro area - 19 countries  (from 2015)","Total","Annual average index","102.49","p"
"2011","Euro area - 19 countries  (from 2015)","Total","Annual average rate of change","1.1","p"
"2011","Euro area - 19 countries  (from 2015)","Purchases of new dwellings","Annual average index",":",""
"2011","Euro area - 19 countries  (from 2015)","Purchases of new dwellings","Annual average rate of change",":",""
"2011","Euro area - 19 countries  (from 2015)","Purchases of existing dwellings","Annual average index",":",""
"2011","Euro area - 19 countries  (from 2015)","Purchases of existing dwellings","Annual average rate of change",":",""
"2011","Belgium","Total","Annual average index","95.61",""
"2011","Belgium","Total","Annual average rate of change","4.0",""
"2011","Belgium","Purchases of new dwellings","Annual average index","92.25",""
"2011","Belgium","Purchases of new dwellings","Annual average rate of change","3.9",""
"2011","Belgium","Purchases of existing dwellings","Annual average index","96.83",""
"2011","Belgium","Purchases of existing dwellings","Annual average rate of change","4.1",""
"2011","Bulgaria","Total","Annual average index","99.98",""
"2011","Bulgaria","Total","Annual average rate of change","-5.5",""
"2011","Bulgaria","Purchases of new dwellings","Annual average index","96.85",""
"2011","Bulgaria","Purchases of new dwellings","Annual average rate of change","-1.0",""
"2011","Bulgaria","Purchases of existing dwellings","Annual average index","101.78",""
"2011","Bulgaria","Purchases of existing dwellings","Annual average rate of change","-6.1",""
"2011","Czechia","Total","Annual average index","95.30",""
"2011","Czechia","Total","Annual average rate of change","0.0",""
"2011","Czechia","Purchases of new dwellings","Annual average index","95.80",""
"2011","Czechia","Purchases of new dwellings","Annual average rate of change","-1.5",""
"2011","Czechia","Purchases of existing dwellings","Annual average index","95.20",""
"2011","Czechia","Purchases of existing dwellings","Annual average rate of change","0.3",""
"2011","Denmark","Total","Annual average index","89.12",""
"2011","Denmark","Total","Annual average rate of change","-1.7",""
"2011","Denmark","Purchases of new dwellings","Annual average index","45.58",""
"2011","Denmark","Purchases of new dwellings","Annual average rate of change","12.6",""
"2011","Denmark","Purchases of existing dwellings","Annual average index","89.68",""
"2011","Denmark","Purchases of existing dwellings","Annual average rate of change","-1.9",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Annual average index","86.80",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Annual average rate of change","3.5",""
"2011","Germany (until 1990 former territory of the FRG)","Purchases of new dwellings","Annual average index","87.80",""
"2011","Germany (until 1990 former territory of the FRG)","Purchases of new dwellings","Annual average rate of change","5.1",""
"2011","Germany (until 1990 former territory of the FRG)","Purchases of existing dwellings","Annual average index","86.70",""
"2011","Germany (until 1990 former territory of the FRG)","Purchases of existing dwellings","Annual average rate of change","3.3",""
"2011","Estonia","Total","Annual average index","69.32",""
"2011","Estonia","Total","Annual average rate of change","8.5",""
"2011","Estonia","Purchases of new dwellings","Annual average index","61.71",""
"2011","Estonia","Purchases of new dwellings","Annual average rate of change","9.4",""
"2011","Estonia","Purchases of existing dwellings","Annual average index","72.94",""
"2011","Estonia","Purchases of existing dwellings","Annual average rate of change","8.5",""
"2011","Ireland","Total","Annual average index","87.86",""
"2011","Ireland","Total","Annual average rate of change","-17.1",""
"2011","Ireland","Purchases of new dwellings","Annual average index","100.79",""
"2011","Ireland","Purchases of new dwellings","Annual average rate of change","-14.3",""
"2011","Ireland","Purchases of existing dwellings","Annual average index","86.54",""
"2011","Ireland","Purchases of existing dwellings","Annual average rate of change","-18.0",""
"2011","Spain","Total","Annual average index","124.27",""
"2011","Spain","Total","Annual average rate of change","-7.6",""
"2011","Spain","Purchases of new dwellings","Annual average index","116.84",""
"2011","Spain","Purchases of new dwellings","Annual average rate of change","-5.9",""
"2011","Spain","Purchases of existing dwellings","Annual average index","127.39",""
"2011","Spain","Purchases of existing dwellings","Annual average rate of change","-9.4",""
"2011","France","Total","Annual average index","105.71",""
"2011","France","Total","Annual average rate of change","5.8",""
"2011","France","Purchases of new dwellings","Annual average index","99.14",""
"2011","France","Purchases of new dwellings","Annual average rate of change","4.9",""
"2011","France","Purchases of existing dwellings","Annual average index","106.57",""
"2011","France","Purchases of existing dwellings","Annual average rate of change","5.9",""
"2011","Croatia","Total","Annual average index","110.66",""
"2011","Croatia","Total","Annual average rate of change","0.2",""
"2011","Croatia","Purchases of new dwellings","Annual average index","113.05",""
"2011","Croatia","Purchases of new dwellings","Annual average rate of change","1.8",""
"2011","Croatia","Purchases of existing dwellings","Annual average index","110.08",""
"2011","Croatia","Purchases of existing dwellings","Annual average rate of change","-1.0",""
"2011","Italy","Total","Annual average index","119.70",""
"2011","Italy","Total","Annual average rate of change","1.4",""
"2011","Italy","Purchases of new dwellings","Annual average index","104.00",""
"2011","Italy","Purchases of new dwellings","Annual average rate of change","3.2",""
"2011","Italy","Purchases of existing dwellings","Annual average index","127.30",""
"2011","Italy","Purchases of existing dwellings","Annual average rate of change","0.4",""
"2011","Cyprus","Total","Annual average index","111.09",""
"2011","Cyprus","Total","Annual average rate of change","-1.6",""
"2011","Cyprus","Purchases of new dwellings","Annual average index","111.04",""
"2011","Cyprus","Purchases of new dwellings","Annual average rate of change","-2.6",""
"2011","Cyprus","Purchases of existing dwellings","Annual average index","110.53",""
"2011","Cyprus","Purchases of existing dwellings","Annual average rate of change","1.6",""
"2011","Latvia","Total","Annual average index","88.73",""
"2011","Latvia","Total","Annual average rate of change","10.4",""
"2011","Latvia","Purchases of new dwellings","Annual average index","82.76",""
"2011","Latvia","Purchases of new dwellings","Annual average rate of change","33.6",""
"2011","Latvia","Purchases of existing dwellings","Annual average index","89.69",""
"2011","Latvia","Purchases of existing dwellings","Annual average rate of change","6.0",""
"2011","Lithuania","Total","Annual average index","89.77",""
"2011","Lithuania","Total","Annual average rate of change","6.6",""
"2011","Lithuania","Purchases of new dwellings","Annual average index","85.00",""
"2011","Lithuania","Purchases of new dwellings","Annual average rate of change","10.2",""
"2011","Lithuania","Purchases of existing dwellings","Annual average index","90.28",""
"2011","Lithuania","Purchases of existing dwellings","Annual average rate of change","5.9",""
"2011","Luxembourg","Total","Annual average index","83.09",""
"2011","Luxembourg","Total","Annual average rate of change","3.7",""
"2011","Luxembourg","Purchases of new dwellings","Annual average index","80.08",""
"2011","Luxembourg","Purchases of new dwellings","Annual average rate of change","1.5",""
"2011","Luxembourg","Purchases of existing dwellings","Annual average index","85.21",""
"2011","Luxembourg","Purchases of existing dwellings","Annual average rate of change","4.8",""
"2011","Hungary","Total","Annual average index","90.45",""
"2011","Hungary","Total","Annual average rate of change","-3.4",""
"2011","Hungary","Purchases of new dwellings","Annual average index","87.50",""
"2011","Hungary","Purchases of new dwellings","Annual average rate of change","-3.2",""
"2011","Hungary","Purchases of existing dwellings","Annual average index","90.79",""
"2011","Hungary","Purchases of existing dwellings","Annual average rate of change","-3.4",""
"2011","Malta","Total","Annual average index","89.80",""
"2011","Malta","Total","Annual average rate of change","-1.4",""
"2011","Malta","Purchases of new dwellings","Annual average index","91.69",""
"2011","Malta","Purchases of new dwellings","Annual average rate of change","-2.0",""
"2011","Malta","Purchases of existing dwellings","Annual average index","86.01",""
"2011","Malta","Purchases of existing dwellings","Annual average rate of change","0.1",""
"2011","Netherlands","Total","Annual average index","109.19",""
"2011","Netherlands","Total","Annual average rate of change","-2.0",""
"2011","Netherlands","Purchases of new dwellings","Annual average index","104.82",""
"2011","Netherlands","Purchases of new dwellings","Annual average rate of change","0.0",""
"2011","Netherlands","Purchases of existing dwellings","Annual average index","110.26",""
"2011","Netherlands","Purchases of existing dwellings","Annual average rate of change","-2.4",""
"2011","Austria","Total","Annual average index","81.60",""
"2011","Austria","Total","Annual average rate of change","6.3",""
"2011","Austria","Purchases of new dwellings","Annual average index","82.19",""
"2011","Austria","Purchases of new dwellings","Annual average rate of change","6.0",""
"2011","Austria","Purchases of existing dwellings","Annual average index","81.46",""
"2011","Austria","Purchases of existing dwellings","Annual average rate of change","6.3",""
"2011","Poland","Total","Annual average index","105.70",""
"2011","Poland","Total","Annual average rate of change","0.1",""
"2011","Poland","Purchases of new dwellings","Annual average index","102.38",""
"2011","Poland","Purchases of new dwellings","Annual average rate of change","1.1",""
"2011","Poland","Purchases of existing dwellings","Annual average index","107.30",""
"2011","Poland","Purchases of existing dwellings","Annual average rate of change","-0.4",""
"2011","Portugal","Total","Annual average index","102.09",""
"2011","Portugal","Total","Annual average rate of change","-4.9",""
"2011","Portugal","Purchases of new dwellings","Annual average index","102.10",""
"2011","Portugal","Purchases of new dwellings","Annual average rate of change","-2.9",""
"2011","Portugal","Purchases of existing dwellings","Annual average index","102.30",""
"2011","Portugal","Purchases of existing dwellings","Annual average rate of change","-6.6",""
"2011","Romania","Total","Annual average index","104.83",""
"2011","Romania","Total","Annual average rate of change","-12.3",""
"2011","Romania","Purchases of new dwellings","Annual average index","106.11",""
"2011","Romania","Purchases of new dwellings","Annual average rate of change","-3.4",""
"2011","Romania","Purchases of existing dwellings","Annual average index","105.49",""
"2011","Romania","Purchases of existing dwellings","Annual average rate of change","-13.8",""
"2011","Slovenia","Total","Annual average index","120.39",""
"2011","Slovenia","Total","Annual average rate of change","2.7",""
"2011","Slovenia","Purchases of new dwellings","Annual average index","121.18",""
"2011","Slovenia","Purchases of new dwellings","Annual average rate of change","5.2",""
"2011","Slovenia","Purchases of existing dwellings","Annual average index","119.46",""
"2011","Slovenia","Purchases of existing dwellings","Annual average rate of change","0.7",""
"2011","Slovakia","Total","Annual average index","95.33",""
"2011","Slovakia","Total","Annual average rate of change","-1.5",""
"2011","Slovakia","Purchases of new dwellings","Annual average index","99.89",""
"2011","Slovakia","Purchases of new dwellings","Annual average rate of change","-2.9",""
