"TIME","GEO","CURRENCY","ESTRUCT","ECASE","Value","Flag and Footnotes"
"2010","Denmark","Euro","Net earning","Single person without children, 125% of AW","38,687.81",""
"2010","Denmark","Euro","Net earning","Single person without children, 167% of AW","48,151.32",""
"2010","Denmark","Euro","Net earning","Single person with 2 children, 67% of AW","31,115.75",""
"2010","Denmark","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","37,937.47",""
"2010","Denmark","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","47,894.60",""
"2010","Denmark","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","58,153.45",""
"2010","Denmark","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","68,005.29",""
"2010","Denmark","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","44,587.63",""
"2010","Denmark","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","64,698.32",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Single person without children, 50% of AW","14,528.53",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Single person without children, 67% of AW","18,384.81",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Single person without children, 80% of AW","21,221.53",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Single person without children, 100% of AW","25,374.06",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Single person without children, 125% of AW","30,604.98",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Single person without children, 167% of AW","39,184.66",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Single person with 2 children, 67% of AW","23,421.58",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","33,556.89",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","41,267.14",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","48,695.24",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","55,683.20",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","36,547.44",""
"2010","Germany (until 1990 former territory of the FRG)","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","50,748.12",""
"2010","Estonia","Euro","Net earning","Single person without children, 50% of AW","4,091.29",""
"2010","Estonia","Euro","Net earning","Single person without children, 67% of AW","5,359.12",""
"2010","Estonia","Euro","Net earning","Single person without children, 80% of AW","6,328.63",""
"2010","Estonia","Euro","Net earning","Single person without children, 100% of AW","7,820.19",""
"2010","Estonia","Euro","Net earning","Single person without children, 125% of AW","9,684.65",""
"2010","Estonia","Euro","Net earning","Single person without children, 167% of AW","12,816.93",""
"2010","Estonia","Euro","Net earning","Single person with 2 children, 67% of AW","6,641.82",""
"2010","Estonia","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","9,005.12",""
"2010","Estonia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","11,466.20",""
"2010","Estonia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","14,001.85",""
"2010","Estonia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","16,462.93",""
"2010","Estonia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","10,643.65",""
"2010","Estonia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","15,640.39",""
"2010","Ireland","Euro","Net earning","Single person without children, 50% of AW","19,457.01",""
"2010","Ireland","Euro","Net earning","Single person without children, 67% of AW","23,613.09",""
"2010","Ireland","Euro","Net earning","Single person without children, 80% of AW","27,433.33",""
"2010","Ireland","Euro","Net earning","Single person without children, 100% of AW","32,138.69",""
"2010","Ireland","Euro","Net earning","Single person without children, 125% of AW","37,281.32",""
"2010","Ireland","Euro","Net earning","Single person without children, 167% of AW","46,020.60",""
"2010","Ireland","Euro","Net earning","Single person with 2 children, 67% of AW","32,559.64",""
"2010","Ireland","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","39,640.63",""
"2010","Ireland","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","51,653.52",""
"2010","Ireland","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","60,523.72",""
"2010","Ireland","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","67,877.37",""
"2010","Ireland","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","48,053.52",""
"2010","Ireland","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","64,277.37",""
"2010","Greece","Euro","Net earning","Single person without children, 50% of AW","10,145.47",""
"2010","Greece","Euro","Net earning","Single person without children, 67% of AW","13,312.15",""
"2010","Greece","Euro","Net earning","Single person without children, 80% of AW","15,468.53",""
"2010","Greece","Euro","Net earning","Single person without children, 100% of AW","18,567.36",""
"2010","Greece","Euro","Net earning","Single person without children, 125% of AW","22,374.64",""
"2010","Greece","Euro","Net earning","Single person without children, 167% of AW","28,173.94",""
"2010","Greece","Euro","Net earning","Single person with 2 children, 67% of AW","14,954.42",""
"2010","Greece","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","22,151.82",""
"2010","Greece","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","30,187.03",""
"2010","Greece","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","37,682.32",""
"2010","Greece","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","43,771.73",""
"2010","Greece","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","27,476.08",""
"2010","Greece","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","40,220.95",""
"2010","Spain","Euro","Net earning","Single person without children, 50% of AW","11,194.70",""
"2010","Spain","Euro","Net earning","Single person without children, 67% of AW","13,692.26",""
"2010","Spain","Euro","Net earning","Single person without children, 80% of AW","15,985.60",""
"2010","Spain","Euro","Net earning","Single person without children, 100% of AW","19,399.72",""
"2010","Spain","Euro","Net earning","Single person without children, 125% of AW","23,577.87",""
"2010","Spain","Euro","Net earning","Single person without children, 167% of AW","30,438.42",""
"2010","Spain","Euro","Net earning","Single person with 2 children, 67% of AW","15,263.50",""
"2010","Spain","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","21,260.06",""
"2010","Spain","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","27,524.79",""
"2010","Spain","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","34,022.22",""
"2010","Spain","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","39,729.68",""
"2010","Spain","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","27,059.67",""
"2010","Spain","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","38,799.44",""
"2010","France","Euro","Net earning","Single person without children, 50% of AW","14,042.93",""
"2010","France","Euro","Net earning","Single person without children, 67% of AW","17,212.55",""
"2010","France","Euro","Net earning","Single person without children, 80% of AW","20,292.47",""
"2010","France","Euro","Net earning","Single person without children, 100% of AW","25,031.80",""
"2010","France","Euro","Net earning","Single person without children, 125% of AW","30,199.61",""
"2010","France","Euro","Net earning","Single person without children, 167% of AW","38,608.01",""
"2010","France","Euro","Net earning","Single person with 2 children, 67% of AW","19,815.09",""
"2010","France","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","28,549.16",""
"2010","France","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","37,725.38",""
"2010","France","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","45,070.48",""
"2010","France","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","52,889.73",""
"2010","France","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","34,189.18",""
"2010","France","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","50,063.60",""
"2010","Croatia","Euro","Net earning","Single person without children, 50% of AW",":",""
"2010","Croatia","Euro","Net earning","Single person without children, 67% of AW",":",""
"2010","Croatia","Euro","Net earning","Single person without children, 80% of AW",":",""
"2010","Croatia","Euro","Net earning","Single person without children, 100% of AW",":",""
"2010","Croatia","Euro","Net earning","Single person without children, 125% of AW",":",""
"2010","Croatia","Euro","Net earning","Single person without children, 167% of AW",":",""
"2010","Croatia","Euro","Net earning","Single person with 2 children, 67% of AW",":",""
"2010","Croatia","Euro","Net earning","One-earner married couple, at 100% of AW, with two children",":",""
"2010","Croatia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children",":",""
"2010","Croatia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children",":",""
"2010","Croatia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children",":",""
"2010","Croatia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children",":",""
"2010","Croatia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children",":",""
"2010","Italy","Euro","Net earning","Single person without children, 50% of AW","11,057.57",""
"2010","Italy","Euro","Net earning","Single person without children, 67% of AW","13,992.79",""
"2010","Italy","Euro","Net earning","Single person without children, 80% of AW","16,234.43",""
"2010","Italy","Euro","Net earning","Single person without children, 100% of AW","19,705.17",""
"2010","Italy","Euro","Net earning","Single person without children, 125% of AW","23,559.06",""
"2010","Italy","Euro","Net earning","Single person without children, 167% of AW","29,593.15",""
"2010","Italy","Euro","Net earning","Single person with 2 children, 67% of AW","17,964.27",""
"2010","Italy","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","23,202.31",""
"2010","Italy","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","29,978.17",""
"2010","Italy","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","35,831.09",""
"2010","Italy","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","41,234.09",""
"2010","Italy","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","27,823.83",""
"2010","Italy","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","39,410.35",""
"2010","Cyprus","Euro","Net earning","Single person without children, 50% of AW",":",""
"2010","Cyprus","Euro","Net earning","Single person without children, 67% of AW",":",""
"2010","Cyprus","Euro","Net earning","Single person without children, 80% of AW",":",""
"2010","Cyprus","Euro","Net earning","Single person without children, 100% of AW",":",""
"2010","Cyprus","Euro","Net earning","Single person without children, 125% of AW",":",""
"2010","Cyprus","Euro","Net earning","Single person without children, 167% of AW",":",""
"2010","Cyprus","Euro","Net earning","Single person with 2 children, 67% of AW",":",""
"2010","Cyprus","Euro","Net earning","One-earner married couple, at 100% of AW, with two children",":",""
"2010","Cyprus","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children",":",""
"2010","Cyprus","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children",":",""
"2010","Cyprus","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children",":",""
"2010","Cyprus","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children",":",""
"2010","Cyprus","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children",":",""
"2010","Latvia","Euro","Net earning","Single person without children, 50% of AW","2,612.04",""
"2010","Latvia","Euro","Net earning","Single person without children, 67% of AW","3,447.27",""
"2010","Latvia","Euro","Net earning","Single person without children, 80% of AW","4,085.98",""
"2010","Latvia","Euro","Net earning","Single person without children, 100% of AW","5,068.61",""
"2010","Latvia","Euro","Net earning","Single person without children, 125% of AW","6,296.89",""
"2010","Latvia","Euro","Net earning","Single person without children, 167% of AW","8,360.40",""
"2010","Latvia","Euro","Net earning","Single person with 2 children, 67% of AW","4,279.91",""
"2010","Latvia","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","5,901.25",""
"2010","Latvia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","7,678.06",""
"2010","Latvia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","9,348.52",""
"2010","Latvia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","10,969.85",""
"2010","Latvia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","6,845.42",""
"2010","Latvia","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","10,137.21",""
"2010","Lithuania","Euro","Net earning","Single person without children, 50% of AW","2,786.73",""
"2010","Lithuania","Euro","Net earning","Single person without children, 67% of AW","3,622.55",""
"2010","Lithuania","Euro","Net earning","Single person without children, 80% of AW","4,261.70",""
"2010","Lithuania","Euro","Net earning","Single person without children, 100% of AW","5,245.02",""
"2010","Lithuania","Euro","Net earning","Single person without children, 125% of AW","6,474.17",""
"2010","Lithuania","Euro","Net earning","Single person without children, 167% of AW","8,548.14",""
"2010","Lithuania","Euro","Net earning","Single person with 2 children, 67% of AW","4,140.38",""
"2010","Lithuania","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","5,762.86",""
"2010","Lithuania","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","7,335.59",""
"2010","Lithuania","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","9,023.97",""
"2010","Lithuania","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","10,646.44",""
"2010","Lithuania","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","7,179.20",""
"2010","Lithuania","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","10,490.05",""
"2010","Luxembourg","Euro","Net earning","Single person without children, 50% of AW","20,883.64",""
"2010","Luxembourg","Euro","Net earning","Single person without children, 67% of AW","26,665.38",""
"2010","Luxembourg","Euro","Net earning","Single person without children, 80% of AW","30,668.83",""
"2010","Luxembourg","Euro","Net earning","Single person without children, 100% of AW","36,167.09",""
"2010","Luxembourg","Euro","Net earning","Single person without children, 125% of AW","42,704.43",""
"2010","Luxembourg","Euro","Net earning","Single person without children, 167% of AW","53,698.84",""
"2010","Luxembourg","Euro","Net earning","Single person with 2 children, 67% of AW","36,691.33",""
"2010","Luxembourg","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","48,660.36",""
"2010","Luxembourg","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","61,573.59",""
"2010","Luxembourg","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","72,319.99",""
"2010","Luxembourg","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","81,608.64",""
"2010","Luxembourg","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","54,051.87",""
"2010","Luxembourg","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","74,086.92",""
"2010","Hungary","Euro","Net earning","Single person without children, 50% of AW","3,457.66",""
"2010","Hungary","Euro","Net earning","Single person without children, 67% of AW","4,409.62",""
"2010","Hungary","Euro","Net earning","Single person without children, 80% of AW","5,137.60",""
"2010","Hungary","Euro","Net earning","Single person without children, 100% of AW","6,256.57",""
"2010","Hungary","Euro","Net earning","Single person without children, 125% of AW","7,309.10",""
"2010","Hungary","Euro","Net earning","Single person without children, 167% of AW","9,173.20",""
"2010","Hungary","Euro","Net earning","Single person with 2 children, 67% of AW","5,699.01",""
"2010","Hungary","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","7,415.27",""
"2010","Hungary","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","9,912.89",""
"2010","Hungary","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","11,824.90",""
"2010","Hungary","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","13,671.84",""
"2010","Hungary","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","8,754.18",""
"2010","Hungary","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","12,513.14",""
"2010","Malta","Euro","Net earning","Single person without children, 50% of AW","8,005.13",""
"2010","Malta","Euro","Net earning","Single person without children, 67% of AW","10,293.37",""
"2010","Malta","Euro","Net earning","Single person without children, 80% of AW","12,043.20",""
"2010","Malta","Euro","Net earning","Single person without children, 100% of AW","14,473.93",""
"2010","Malta","Euro","Net earning","Single person without children, 125% of AW","17,545.62",""
"2010","Malta","Euro","Net earning","Single person without children, 167% of AW","22,445.15",""
"2010","Malta","Euro","Net earning","Single person with 2 children, 67% of AW","12,231.19",""
"2010","Malta","Euro","Net earning","One-earner married couple, at 100% of AW, with two children","16,045.75",""
"2010","Malta","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with two children","20,304.19",""
"2010","Malta","Euro","Net earning","Two-earner married couple, one at 100%, the other at 67% of AW, with two children","25,267.30",""
"2010","Malta","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with two children","29,447.86",""
"2010","Malta","Euro","Net earning","Two-earner married couple, one at 100%, the other at 33% of AW, with no children","19,804.19",""
"2010","Malta","Euro","Net earning","Two-earner married couple, one at 100%, the other at 100% of AW, with no children","28,947.86",""
"2010","Netherlands","Euro","Net earning","Single person without children, 50% of AW","17,678.46",""
"2010","Netherlands","Euro","Net earning","Single person without children, 67% of AW","22,082.32",""
"2010","Netherlands","Euro","Net earning","Single person without children, 80% of AW","25,503.10",""
"2010","Netherlands","Euro","Net earning","Single person without children, 100% of AW","30,901.41",""
